,sentiment,magnitude,state
0,-0.16417910636805777,0.7000000034991781,AK
1,-0.15591398055469202,0.6402457795934193,AL
2,-0.1796690326879774,0.6763593424507912,AR
3,-0.1702833471828769,0.675881136921907,AZ
4,-0.1678571449751489,0.6801881277512131,CA
5,-0.16136054645995704,0.6792517038024202,CO
6,-0.15890411096178506,0.6965753450887661,CT
7,-0.16111111185616916,0.6833333338576334,DC
8,-0.16653696708526128,0.6743190704848516,DE
9,-0.17086444240217125,0.6832023609510105,FL
10,-0.16601535448101293,0.6893928855948738,GA
11,-0.16076389081879622,0.6871527792213278,HI
12,-0.17475345397195402,0.7378698251627136,IA
13,-0.14150326935197013,0.6970588268797382,ID
14,-0.1669248666161257,0.6961270371534213,IL
15,-0.1687091526764086,0.7084150356757972,IN
16,-0.17083799170548689,0.7014525177342266,KS
17,-0.17568345539432637,0.6893525209894283,KY
18,-0.17767695398382613,0.6695099869597629,LA
19,-0.1910714308716475,0.6662698451370473,MA
20,-0.17660764419410346,0.6923578773787504,MD
21,-0.165701561024566,0.6746102485863827,ME
22,-0.16216216421136795,0.6932697427425993,MI
23,-0.18075221489323715,0.6751106224245335,MN
24,-0.15243393762013843,0.7001390866468944,MO
25,-0.1585294140393243,0.643823533439461,MS
26,-0.1739285733550787,0.7067857182185565,MT
27,-0.1639906489642356,0.6943881564184918,NC
28,-0.19670329922503169,0.5604395655976547,ND
29,-0.12894737010723667,0.6868421058513616,NE
30,-0.16079136911484834,0.7079136743605565,NH
31,-0.14974968918646978,0.6878598282097352,NJ
32,-0.1508591087003754,0.6608247442548627,NM
33,-0.20564516385396323,0.7279569906813483,NV
34,-0.13614156130424795,0.673003448253323,NY
35,-0.16070272930920593,0.7052242289221072,OH
36,-0.15669173143411938,0.6959398537986261,OK
37,-0.20147630388225432,0.6886557925205964,OR
38,-0.18601997397021627,0.7141226857698678,PA
39,-0.11157894926635843,0.6300000011136657,RI
40,-0.15890625147148968,0.6820312522468157,SC
41,-0.1582278504590445,0.6468354511675956,SD
42,-0.17304813049853165,0.7009625699510549,TN
43,-0.17143904894972808,0.6782034865849396,TX
44,-0.13995381250254826,0.7528868391421596,UT
45,-0.16052631757661184,0.690929455309272,VA
46,-0.21073446603818127,0.6604519831174511,VT
47,-0.135393135817278,0.6483499478412625,WA
48,-0.19080460004004177,0.6706258023055425,WI
49,-0.21041666845687562,0.684722223577814,WY
