sentiment,magnitude,state,date
-0.16417910636805774,0.7000000034991781,AK,1
-0.15591398055469202,0.6402457795934193,AL,1
-0.1796690326879774,0.6763593424507912,AR,1
-0.1702833471828769,0.6758811369219069,AZ,1
-0.1678571449751489,0.6801881277512131,CA,1
-0.16136054645995704,0.6792517038024202,CO,1
-0.15890411096178506,0.6965753450887661,CT,1
-0.16111111185616914,0.6833333338576334,DC,1
-0.16653696708526128,0.6743190704848516,DE,1
-0.17086444240217125,0.6832023609510105,FL,1
-0.16601535448101293,0.6893928855948738,GA,1
-0.16076389081879622,0.6871527792213278,HI,1
-0.17475345397195402,0.7378698251627136,IA,1
-0.14150326935197013,0.6970588268797382,ID,1
-0.1669248666161257,0.6961270371534213,IL,1
-0.1687091526764086,0.7084150356757972,IN,1
-0.17083799170548689,0.7014525177342266,KS,1
-0.17568345539432634,0.6893525209894283,KY,1
-0.17767695398382613,0.6695099869597629,LA,1
-0.1910714308716475,0.6662698451370473,MA,1
-0.17660764419410346,0.6923578773787504,MD,1
-0.165701561024566,0.6746102485863827,ME,1
-0.16216216421136795,0.6932697427425993,MI,1
-0.18075221489323715,0.6751106224245335,MN,1
-0.15243393762013846,0.7001390866468944,MO,1
-0.1585294140393243,0.6438235334394611,MS,1
-0.1739285733550787,0.7067857182185565,MT,1
-0.1639906489642356,0.6943881564184918,NC,1
-0.19670329922503169,0.5604395655976547,ND,1
-0.12894737010723667,0.6868421058513616,NE,1
-0.16079136911484834,0.7079136743605565,NH,1
-0.14974968918646978,0.6878598282097352,NJ,1
-0.1508591087003754,0.6608247442548627,NM,1
-0.20564516385396325,0.7279569906813483,NV,1
-0.13614156130424795,0.673003448253323,NY,1
-0.16070272930920593,0.7052242289221072,OH,1
-0.15669173143411938,0.6959398537986261,OK,1
-0.20147630388225432,0.6886557925205964,OR,1
-0.18601997397021627,0.7141226857698678,PA,1
-0.11157894926635843,0.6300000011136657,RI,1
-0.15890625147148968,0.6820312522468157,SC,1
-0.1582278504590445,0.6468354511675956,SD,1
-0.17304813049853165,0.7009625699510549,TN,1
-0.17143904894972808,0.6782034865849396,TX,1
-0.13995381250254826,0.7528868391421596,UT,1
-0.16052631757661184,0.690929455309272,VA,1
-0.21073446603818127,0.6604519831174511,VT,1
-0.13539313581727802,0.6483499478412625,WA,1
-0.19080460004004174,0.6706258023055425,WI,1
-0.2104166684568756,0.684722223577814,WY,1
-0.15480769361154392,0.6908653874595004,AK,2
-0.16123595716578235,0.6401685430678759,AL,2
-0.15206812844224218,0.6863746976982938,AR,2
-0.1888181197563132,0.6673036134325269,AZ,2
-0.15935251998144426,0.6727869916039592,CA,2
-0.17068965735430158,0.7132822510145252,CO,2
-0.15402299059288846,0.6694581300778734,CT,2
-0.13380281742609726,0.6859155002404267,DC,2
-0.17354260231347365,0.6372197345567391,DE,2
-0.16049513539084176,0.6809352556424049,FL,2
-0.16318557679563606,0.6711495157462775,GA,2
-0.1199275374520516,0.6931159439348225,HI,2
-0.156983242493324,0.7210428342916891,IA,2
-0.17761733124725226,0.6592057815312479,ID,2
-0.17385570408994602,0.6740884443093308,IL,2
-0.14205357326593782,0.6767857177914786,IN,2
-0.17779043499287006,0.6653758581210106,KS,2
-0.16246154042390676,0.6666153885080264,KY,2
-0.18467153512267734,0.6875912446365522,LA,2
-0.1687676407193532,0.7046095989469302,MA,2
-0.1859528510474503,0.6431237757059586,MD,2
-0.1305494521345411,0.7000000031767311,ME,2
-0.18175141443051188,0.6863841830084553,MI,2
-0.1751213610371195,0.724029129090746,MN,2
-0.20990753228944706,0.7413474282193215,MO,2
-0.1827922100806004,0.7045454586335977,MS,2
-0.1497991988397985,0.7040160694814112,MT,2
-0.16305939987168455,0.6990235994885955,NC,2
-0.19402985397114686,0.6940298529703226,ND,2
-0.15476190692612102,0.6595238156261898,NE,2
-0.13383458818035915,0.6511278224170656,NH,2
-0.15929847972961866,0.6728656546839573,NJ,2
-0.16333333477377893,0.7274074111271788,NM,2
-0.140395482107576,0.6867231669188556,NV,2
