,sentiment,magnitude,state
0,-0.1556053831505134,0.6529148013535636,AK
1,-0.1440177268212444,0.648596753904175,AL
2,-0.1344387770003202,0.6267857166691398,AR
3,-0.1384509955370075,0.6871830041866911,AZ
4,-0.1431638111411761,0.6475868065104998,CA
5,-0.14747331118562468,0.6844128142207119,CO
6,-0.1510597322286898,0.6816955716537603,CT
7,-0.1579710161988286,0.48260869787655014,DC
8,-0.11310679848911692,0.5480582578812988,DE
9,-0.14551641500508003,0.6426541259746441,FL
10,-0.13853084035759905,0.615107417860464,GA
11,-0.12492012906188782,0.6472843488612876,HI
12,-0.14919355026476325,0.6770161327515398,IA
13,-0.14812286907597205,0.6686006855130603,ID
14,-0.17028806781081995,0.6531687275924309,IL
15,-0.11655629263413662,0.627719965639155,IN
16,-0.11490909200726133,0.6238787906458884,KS
17,-0.14411764878024852,0.6331699373675328,KY
18,-0.16037441643649442,0.5993759788677399,LA
19,-0.1428263231452872,0.654368935046394,MA
20,-0.15080113236377196,0.6338360069440739,MD
21,-0.15844749033314998,0.6712328810329851,ME
22,-0.16043829499833037,0.6762975802883557,MI
23,-0.12814569702705012,0.6321192082864691,MN
24,-0.14801136554557492,0.6776988658927042,MO
25,-0.10685358405391747,0.634579441025621,MS
26,-0.16518218739915955,0.6700404877001457,MT
27,-0.14612403269423996,0.6641860495877359,NC
28,-0.14909091280265288,0.7272727276791225,ND
29,-0.14086538632042134,0.6567307708856578,NE
30,-0.16603053602894755,0.656870229866441,NH
31,-0.13155467834750653,0.6381422959474236,NJ
32,-0.13527607545256615,0.6723926410398966,NM
33,-0.1605128220258615,0.7035897464706348,NV
34,-0.10766588727493569,0.6580015643302767,NY
35,-0.15678092586020007,0.6505216121806828,OH
36,-0.12742424390532753,0.648484849534703,OK
37,-0.15709430963028864,0.6779949050349204,OR
38,-0.15624048914108285,0.6609589070467281,PA
39,-0.1658823557636317,0.6188235342940863,RI
40,-0.16762360650006283,0.6925039897647581,SC
41,-0.19784946427229913,0.7784946231592086,SD
42,-0.15132743578437155,0.6326327466084498,TN
43,-0.14445216377010403,0.6434971380601701,TX
44,-0.11361386278404458,0.6262376274138984,UT
45,-0.13652625667501994,0.6489324908697117,VA
46,-0.1429530217143513,0.6872483251878879,VT
47,-0.11544696769611103,0.6228809666273327,WA
48,-0.17543859865233216,0.6802339210844877,WI
49,-0.15420560796405666,0.6364485998159257,WY
